"id";"ALUMNOS";"ESPANOL";"MATEMATICAS";"INGLES";"CIENCIAS_NATURALES";"HISTORIA";"EDUCACION_FISICA";"ARTES";"TECNOLOGIA";"NUM_FALTAS";"PARTICIPACIONES";"RENDIMIENTO"
1;"LUIS HERNANDEZ MARTINEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
2;"MARIA GARCIA PEREZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
3;"JOSE MARTINEZ LOPEZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
4;"ANA LOPEZ HERNANDEZ";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
5;"CARLOS PEREZ GARCIA";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
6;"LAURA SANCHEZ RAMIREZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
7;"JUAN RAMIREZ TORRES";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
8;"MONICA FLORES DIAZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
9;"JORGE MORALES CRUZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
10;"SILVIA TORRES LOPEZ";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
11;"FERNANDO RUIZ MARTINEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
12;"ROSA RAMIREZ HERNANDEZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
13;"PEDRO GOMEZ PEREZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
14;"ELENA DIAZ GARCIA";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
15;"DAVID CRUZ MARTINEZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
16;"LUCIA ORTIZ RAMIREZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
17;"MIGUEL MORALES TORRES";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
18;"PAOLA HERRERA DIAZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
19;"ARTURO MENDOZA CRUZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
20;"VERONICA VARGAS GARCIA";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
21;"CAROLINA FLORES MARTINEZ";88.0;92.0;90.0;94.0;91.0;96.0;89.0;92.0;4;5;"Excelente"
22;"ALEJANDRO TORRES HERNANDEZ";75.0;78.0;80.0;82.0;79.0;85.0;81.0;80.0;9;4;"Bueno"
23;"BEATRIZ RAMIREZ PEREZ";60.0;65.0;62.0;61.0;63.0;68.0;66.0;65.0;16;2;"Regular"
24;"FRANCISCO MARTINEZ GARCIA";85.0;90.0;87.0;88.0;91.0;94.0;86.0;89.0;6;4;"Bueno"
25;"ALICIA GARCIA HERNANDEZ";55.0;60.0;57.0;59.0;58.0;64.0;60.0;58.0;21;3;"Malo"
26;"GABRIEL PEREZ MARTINEZ";78.0;83.0;80.0;86.0;85.0;89.0;82.0;84.0;7;4;"Bueno"
27;"VICTORIA SANCHEZ RAMIREZ";68.0;75.0;71.0;73.0;72.0;81.0;76.0;74.0;13;3;"Regular"
28;"JAVIER HERNANDEZ TORRES";95.0;93.0;96.0;92.0;94.0;98.0;95.0;93.0;3;5;"Excelente"
29;"TERESA DIAZ MARTINEZ";50.0;55.0;54.0;52.0;53.0;61.0;58.0;56.0;26;1;"Malo"
30;"MARIO MORALES CRUZ";82.0;79.0;84.0;81.0;83.0;87.0;85.0;82.0;7;4;"Bueno"
31;"GABRIELA TORRES GARCIA";70.0;65.0;69.0;72.0;70.0;75.0;74.0;71.0;11;3;"Regular"
32;"ALFREDO RAMIREZ HERNANDEZ";85.0;89.0;87.0;90.0;88.0;92.0;86.0;88.0;6;4;"Bueno"
33;"ANGELICA MARTINEZ PEREZ";60.0;70.0;64.0;66.0;61.0;67.0;65.0;63.0;17;2;"Regular"
34;"RAFAEL PEREZ GARCIA";90.0;85.0;89.0;91.0;92.0;95.0;88.0;90.0;4;5;"Excelente"
35;"PATRICIA HERNANDEZ LOPEZ";55.0;60.0;56.0;58.0;60.0;65.0;61.0;59.0;22;3;"Malo"
36;"HECTOR LOPEZ MARTINEZ";78.0;82.0;81.0;85.0;84.0;88.0;83.0;86.0;7;4;"Bueno"
37;"MONTSERRAT GARCIA RAMIREZ";68.0;75.0;70.0;73.0;71.0;80.0;75.0;72.0;13;3;"Regular"
38;"SERGIO MARTINEZ TORRES";95.0;92.0;93.0;94.0;96.0;97.0;95.0;94.0;3;5;"Excelente"
39;"ALEJANDRA DIAZ CRUZ";50.0;55.0;53.0;54.0;52.0;60.0;56.0;55.0;26;1;"Malo"
40;"ROBERTO MORALES GARCIA";82.0;78.0;84.0;80.0;82.0;87.0;85.0;83.0;7;4;"Bueno"
41;"ELIZABETH TORRES MARTINEZ";70.0;65.0;68.0;72.0;70.0;76.0;74.0;70.0;12;3;"Regular"
42;"RICARDO RAMIREZ PEREZ";85.0;89.0;86.0;90.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
43;"MARCELA MARTINEZ HERNANDEZ";60.0;70.0;63.0;65.0;61.0;66.0;64.0;62.0;18;2;"Regular"
44;"EDUARDO PEREZ GARCIA";90.0;85.0;88.0;92.0;91.0;94.0;89.0;90.0;4;5;"Excelente"
45;"YOLANDA HERNANDEZ MARTINEZ";55.0;60.0;57.0;59.0;60.0;65.0;62.0;60.0;23;3;"Malo"
46;"GUSTAVO LOPEZ RAMIREZ";78.0;82.0;80.0;84.0;83.0;87.0;82.0;85.0;8;4;"Bueno"
47;"ALMA SANCHEZ GARCIA";68.0;75.0;71.0;72.0;71.0;79.0;74.0;73.0;14;3;"Regular"
48;"ANTONIO MARTINEZ PEREZ";95.0;93.0;94.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
49;"REBECA DIAZ HERNANDEZ";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;27;1;"Malo"
50;"SANDRA MORALES CRUZ";82.0;79.0;84.0;81.0;83.0;87.0;85.0;82.0;7;4;"Bueno"
51;"DANIELA TORRES GARCIA";70.0;65.0;69.0;73.0;71.0;76.0;74.0;71.0;11;3;"Regular"
52;"ADRIAN RAMIREZ MARTINEZ";85.0;89.0;87.0;91.0;88.0;92.0;86.0;89.0;6;4;"Bueno"
53;"PAOLA MARTINEZ HERNANDEZ";60.0;70.0;65.0;66.0;61.0;67.0;64.0;63.0;17;2;"Regular"
54;"MARIO PEREZ GARCIA";90.0;85.0;88.0;91.0;92.0;95.0;88.0;90.0;4;5;"Excelente"
55;"DIANA HERNANDEZ MARTINEZ";55.0;60.0;57.0;59.0;60.0;65.0;61.0;59.0;22;3;"Malo"
56;"OSCAR LOPEZ RAMIREZ";78.0;82.0;80.0;85.0;84.0;88.0;83.0;86.0;7;4;"Bueno"
57;"CARMEN SANCHEZ MARTINEZ";68.0;75.0;71.0;73.0;72.0;80.0;75.0;72.0;13;3;"Regular"
58;"GERARDO MARTINEZ TORRES";95.0;92.0;93.0;94.0;96.0;97.0;95.0;94.0;3;5;"Excelente"
